book_id,title,author,genre,pages,published_year
1117,At Home With the Templetons,Monica McInerney ,Fiction,471,2010
1118,Feminine Appeal: Seven Virtues of a Godly Wife and Mother,Carolyn Mahaney,Christian,192,2003
1119,Hansel and Gretel,Neil Gaiman ,Fantasy,56,1957
1120,Coming Through the Rye,Grace Livingston Hill,Romance,319,1926
1121,A Rage to Live: A Biography of Richard and Isabel Burton,Mary S. Lovell,Biography,944,1998
1122,Angel In The Shadows,Lisa Grace ,Young Adult,144,2009
1123,"The ""Fighting Temeraire""",Sam Willis,History,416,2009
1124,The Life of Andrew Jackson,Robert V. Remini,Biography,448,1988
1125,The Coveted,Laura Thalassa ,Fantasy,312,2014
1126,Sing Down the Moon,Scott O'Dell,Historical Fiction,124,1970
1127,America the Beautiful,Laura Hayden ,Fiction,391,2008
1128,Grange House,Sarah Blake ,Historical Fiction,384,2000
1129,Jakob the Liar,Jurek Becker,Fiction,256,1969
1130,White as Snow,Tanith Lee,Fantasy,320,2000
1131,The Unearthly,Laura Thalassa ,Fantasy,296,2013
1132,Rose Red,Caroline Lee ,Romance,86,2016
1133,The Magic Spell,Linda Chapman,Fantasy,128,2007
1134,Archangel,Robert Harris ,Fiction,432,1998
1135,Boyfriend From Hell,E. Van Lowe ,Young Adult,260,2011
1136,"Red, White, and Blue",Laura Hayden ,Fiction,344,2009
1137,"Confessions of Felix Krull, Confidence Man: The Early Years",Thomas Mann,Fiction,400,1954
1138,Secrets on 26th Street,Elizabeth McDavid Jones,Historical Fiction,144,1999
1139,Tempting the Billionaire,Jessica Lemmon ,Romance,320,2013
1140,The Anarchistic Colossus,A.E. van Vogt,Science Fiction,248,1977
1141,Florence Nightingale: The Making of an Icon,Mark Bostridge,Biography,672,2008
1142,The Ultimates 2: Ultimate Collection,Mark Millar ,Comics,464,2007
1143,Deadly Dreams,Sarah Dieng ,Paranormal,179,2011
1144,Eternals,Neil Gaiman ,Comics,256,2006
1145,"Far from the Tree: Parents, Children, and the Search for Identity",Andrew Solomon,Nonfiction,962,2012
1146,The Last Legends of Earth,A.A. Attanasio ,Science Fiction,450,1989
1147,Buffy the Vampire Slayer: Wolves at the Gate,Drew Goddard,Graphic Novels,136,2008
1148,The Stepmother,Caroline Lee ,Romance,167,2016
1149,Shooting an Elephant,George Orwell,Nonfiction,368,1936
1150,Devil's Kiss: Widowmakers MC,Celia Loren,Romance,340,2014
1151,The Cold Moon,Jeffery Deaver ,Mystery,416,2006
1152,Easy Kisses,Kristen Pro,Romance,275,2016
1153,Rapunzelle,Caroline Lee ,Romance,205,2016
1154,The Ancient Irish Epic Tale Tain Bo Cualnge the Cualnge Cattle-Raid,Unknown,Classics,424,2000
1155,With the Lightnings,David Drake,Science Fiction,336,1998
1156,Tins,Alex Shearer,Fiction,260,2006
1157,Easy Melody,Kristen Pro,Romance,235,2015
1158,Little Red,Caroline Lee ,Romance,164,2016
1159,Dark Harmony,Laura Thalassa ,Fantasy,369,2018
1160,Slime Time,Betsy Haynes ,Horror,144,1996
1161,Imaginary Homelands: Essays and Criticism 1981-1991,Salman Rushdie,Nonfiction,448,1991
1162,Their Fractured Light,Amie Kaufman ,Science Fiction,428,2015
1163,Easy Charm,Kristen Pro,Romance,280,2015
1164,Beauty,Caroline Lee ,Romance,200,2016
1165,The Emperor of Evening Stars,Laura Thalassa ,New Adult,219,2017
1166,Easy Love,Kristen Pro,Romance,246,2015
1167,Falling In,Frances O'Roark Dowell ,Fantasy,256,2010
1168,City of Quartz: Excavating the Future in Los Angeles,Mike Davis,History,462,1990
1169,To Serve Them All My Days,R.F. Delderfield,Historical Fiction,672,1972
1170,The Cobbler's Kids,Rosie Harris,Fiction,368,2005
1171,Climbing Mount Improbable,Richard Dawkins ,Science,308,1996
1172,"Excuses Begone!: How to Change Lifelong, Self-Defeating Thinking Habits",Wayne W. Dyer,Self Help,288,2009
1173,Satan's Property,Celia Loren,Romance,315,2014
1174,Batman: Whatever Happened to the Caped Crusader?,Neil Gaiman ,Comics,128,2009
1175,Roswell,Sonny Whitelaw,Science Fiction,348,2007
1176,Innumeracy: Mathematical Illiteracy and Its Consequences,John Allen Paulos,Nonfiction,208,1988
1177,"I Love You, Beth Cooper",Larry Doyle ,Humor,253,2007
1178,The Dark Days Club,Alison Goodman ,Fantasy,485,2015
1179,Case Histories 1,Sigmund Freud,Psychology,331,2001
1180,Mr. Standfast,John Buchan,Fiction,352,2019
1181,Irreligion: A Mathematician Explains Why the Arguments for God Just Don't Add Up,John Allen Paulos,Religion,158,2007
1182,Bad Blood,John Sandford,Mystery,388,2010
1183,River Out of Eden: A Darwinian View of Life,Richard Dawkins ,Science,172,1994
1184,Officer Buckle and Gloria,Peggy Rathmann,Picture Books,40,1995
1185,Janice Meredith,Paul Leicester Ford,Historical Fiction,524,1999
1186,The Sandman Volumes 1-10,Neil Gaiman ,Graphic Novels,2050,2012
1187,Addison Blakely: Confessions of a PK,Betsy St. Amant ,Young Adult,368,2012
1188,Immediatism,Peter Lamborn Wilson,Philosophy,60,1994
1189,A World at Arms: A Global History of World War II,Gerhard L. Weinberg,History,1208,1994
1190,Planet Earth II,Stephen Moss,Nonfiction,312,2016
1191,In Mad Love and War,Joy Harjo ,Poetry,67,1990
1192,The Evil Eye: The Classic Account of an Ancient Superstition,Frederick Thomas Elworthy,Nonfiction,471,1971
1193,"I, Cthulhu, or, What’s a Tentacle-Faced Thing Like Me Doing in a Sunken City Like This (Latitude 47° 9′ S, Longitude 126° 43′ W)?",Neil Gaiman ,Short Stories,12,1986
1194,"The New Teen Titans Omnibus, Vol. 2",Marv Wolfman,Comics,736,2012
1195,Book Love,Debbie Tung ,Graphic Novels,137,2019
1196,Kick-Ass,Mark Millar ,Comics,216,2010
1197,"The New Teen Titans Omnibus, Vol. 1",Marv Wolfman,Comics,684,2011
1198,Greenmantle,John Buchan,Fiction,204,2016
1199,"This Is How: Proven Aid in Overcoming Shyness, Molestation, Fatness, Spinsterhood, Grief, Disease, Lushery, Decrepitude & More. For Young and Old Alike.",Augusten Burroughs ,Nonfiction,230,2012
1200,The Absent One,Jussi Adler-Olsen,Mystery,406,2008
1201,Divagations,Stéphane Mallarmé,Poetry,302,2007
1202,The Lady of Bolton Hill,Elizabeth Camden ,Historical Fiction,336,2011
1203,A Summons to Memphis,Peter Taylor,Fiction,209,1986
1204,A Week without Tuesday,Angelica Banks ,Fantasy,384,2015
1205,Prisoners of the Japanese,Gavan Daws,History,462,1994
1206,Divided Soul: The Life Of Marvin Gaye,David Ritz,Music,416,1985
1207,Reparation: A Spiritual Journey,Maria Hall ,Memoir,209,2015
1208,"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",Unknown,Fantasy,158,2000
1209,Nemesis,Anna Banks ,Fantasy,359,2016
1210,The Semplica-Girl Diaries (short story),George Saunders,Short Stories,24,2012
1211,Against the Tide,Elizabeth Camden ,Historical Fiction,362,2012
1212,The Sirian Experiments,Doris Lessing,Science Fiction,288,1980
1213,The Last One,Alexandra Oliva ,Fiction,304,2016
1214,Complete Novels and Stories,Kate Chopin,Fiction,1075,1999
1215,Man Is Not Alone: A Philosophy of Religion,Abraham Joshua Heschel,Religion,320,1951
1216,The Land of Stories: The Ultimate Book Hugger's Guide,Chris Colfer,Fantasy,352,2018
1217,No Longer at Ease,Chinua Achebe,Fiction,196,1960
1218,Redneck Woman: Stories from My Life,Gretchen Wilson,Biography,224,2006
1219,Good,S. Walden,New Adult,372,2013
1220,The Forgetting Time,Sharon Guskin ,Fiction,357,2016
1221,Sandworms of Dune,Brian Herbert,Science Fiction,494,2007
1222,Black Dogs,Ian McEwan,Fiction,149,1992
1223,Lord of Misrule,Jaimy Gordon,Fiction,294,2010
1224,Hunters of Dune,Brian Herbert,Science Fiction,524,2006
1225,The African Safari Papers,Robert Sedlack ,Fiction,309,2001
1226,Kiss of Pride,Sandra Hill ,Paranormal,353,2012
1227,Running Eagle: Woman Warrior of the Blackfeet,James Willard Schultz,Biography,24,1919
1228,An Imaginary Life,David Malouf,Fiction,156,1978
1229,Fire and Fury: The Allied Bombing of Germany 1942--1945,Randall Hansen,History,368,2008
1230,Wolf Tower,Tanith Lee,Fantasy,223,1998
1231,Briefing for a Descent Into Hell,Doris Lessing,Fiction,278,1971
1232,Obsidio,Amie Kaufman ,Science Fiction,624,2018
1233,Little Girl Gone,Drusilla Campbell ,Fiction,299,2012
1234,Doctor Olaf van Schuler's Brain,Kirsten Menger-Anderson ,Fiction,290,2008
1235,The Museum of Heartbreak,Meg Leder,Young Adult,256,2016
1236,Holding Smoke,Elle Cosimano ,Young Adult,336,2016
1237,Wayfarer,R.J. Anderson ,Fantasy,304,2010
1238,The Love Potion,Sandra Hill ,Romance,400,1999
1239,Arrow,R.J. Anderson ,Fantasy,368,2011
1240,Crying With Laughter: My Life Story,Bob Monkhouse,Biography,340,1993
1241,Don't Kill The Messenger,Eileen Rendahl ,Urban Fantasy,323,2010
1242,Penny Dreadful,Will Christopher Baer,Fiction,309,2000
1243,Firsts,Rosalie Stanton ,Romance,74,2009
1244,The Story of Mr Sommer,Patrick Süskind,Fiction,128,1991
